rectangle number,configurations,loss,AUC,Sihlouette,created in x DIRECT iteration,rectangle volumes,rectangle diameters,optimal
12,"(12, [0.833, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.6671381047926843,0.5704619813008035,0.006446234416216612,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
13,"(13, [0.5, 0.833, 0.5, 0.167, 0.5, 0.5, 0.5, 0.5], 100)",0.23177118692547083,0.5308401723550891,0.009271620074287057,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
14,"(14, [0.5, 0.833, 0.5, 0.833, 0.5, 0.5, 0.5, 0.5], 100)",0.2298492155969143,0.45959595959595956,0.015999631490558386,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.01234567901234568, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 1.0540925533894598, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, True, True, True, True, True, True, True, True]"
15,"(15, [0.5, 0.833, 0.5, 0.5, 0.167, 0.5, 0.5, 0.5], 100)",0.6608561277389526,0.3866155347570294,0.015341919381171465,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False]"
16,"(16, [0.5, 0.833, 0.5, 0.5, 0.833, 0.5, 0.5, 0.5], 100)",0.22866588179022074,0.37789608919083706,0.011693069711327553,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856, 0.00411522633744856]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False]"
17,"(17, [0.167, 0.167, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.3380335047841072,0.40689586684356155,0.005218139151111245,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.012345679012345678, 0.012345679012345678]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.0540925533894598, 1.0540925533894598]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, True, True, True, True, True, True, True, True]"
18,"(18, [0.167, 0.167, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.6663537342101336,0.49671964091229415,0.01499422243796289,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False]"
19,"(19, [0.5, 0.167, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.45259303039125764,0.6026557711950971,0.008964378386735916,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False]"
20,"(20, [0.5, 0.167, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",15.283011053590906,0.5366870956758596,0.020015619695186615,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False]"
21,"(21, [0.5, 0.833, 0.5, 0.5, 0.5, 0.167, 0.5, 0.5], 100)",172.30993683021498,0.4229104229104229,0.00544804148375988,6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False]"
