loss,configuration
24455.055989583332,"[([0.8333333333333333, 0.7222222222222222, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.7222222222222222, 0.8333333333333333, 0.5, 0.5], 32)]"
24455.248697916668,"[([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
24456.689453125,"[([0.5, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.5, 0.16666666666666666, 0.5, 0.5], 32)]"
24456.8134765625,"[([0.8333333333333333, 0.5, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.8333333333333333, 0.5], 32)]"
24456.923828125,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
24457.1796875,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.38888888888888884], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.38888888888888884], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.38888888888888884], 32)]"
24457.669921875,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6111111111111112], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6111111111111112], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6111111111111112], 32)]"
24458.3046875,"[([0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24459.111328125,"[([0.9444444444444444, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.7222222222222222, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
24461.462239583332,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
