exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
62,"(62, [0.5, 0.5, 0.833, 0.5, 0.5], 32)",24424.994140625,0.5891416942824457,[0.00399092],[1.23055167],[0.00919925],[1.56146731],True,False,False
63,"(63, [0.833, 0.167, 0.167, 0.167, 0.167], 32)",24526.79296875,0.6565840886748184,[0.02385622],[6.34231208],nan,nan,True,False,nan
64,"(64, [0.833, 0.167, 0.167, 0.167, 0.167], 32)",inf,inf,[0.00149724],[0.45656326],nan,nan,False,True,nan
65,"(65, [0.833, 0.167, 0.167, 0.167, 0.167], 32)",24536.427734375,0.5762396029756794,[0.03991068],[16.51090455],nan,nan,True,False,nan
66,"(66, [0.833, 0.167, 0.167, 0.167, 0.833], 32)",24521.900390625,0.5744179578970661,[0.02371783],[7.47373665],nan,nan,True,False,nan
67,"(67, [0.833, 0.167, 0.167, 0.167, 0.833], 32)",inf,inf,[0.002853],[0.84706974],nan,nan,False,True,nan
68,"(68, [0.833, 0.167, 0.167, 0.167, 0.833], 32)",24649.861328125,0.6773295854057111,[0.04543486],[19.31399743],nan,nan,True,False,nan
69,"(69, [0.833, 0.167, 0.5, 0.167, 0.5], 32)",24480.28125,0.5889897561787851,[0.00794043],[2.33274401],[0.05032099],[8.54361094],True,False,False
70,"(70, [0.833, 0.167, 0.5, 0.167, 0.5], 32)",24546.599609375,0.5841656441727703,[0.0096436],[3.44477845],[0.01984316],[3.39683816],True,False,False
71,"(71, [0.833, 0.167, 0.5, 0.167, 0.5], 32)",inf,inf,[0.01429106],[4.64657181],nan,nan,False,True,nan
72,"(72, [0.833, 0.167, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00550182],[1.4672377],nan,nan,False,True,nan
73,"(73, [0.833, 0.167, 0.5, 0.833, 0.5], 32)",24488.154296875,0.6142193483274694,[0.01112029],[3.96484336],[0.00910835],[1.48291481],True,False,True
74,"(74, [0.833, 0.167, 0.5, 0.833, 0.5], 32)",inf,inf,[0.00103611],[0.31057657],nan,nan,False,True,nan
75,"(75, [0.833, 0.833, 0.167, 0.5, 0.5], 32)",inf,inf,[0.00681111],[2.17155664],nan,nan,False,True,nan
76,"(76, [0.833, 0.833, 0.167, 0.5, 0.5], 32)",24399.17578125,0.6381134210413817,[0.03474571],[8.76919697],nan,nan,True,False,nan
77,"(77, [0.833, 0.833, 0.167, 0.5, 0.5], 32)",inf,inf,[0.00647231],[1.89250494],nan,nan,False,True,nan
78,"(78, [0.833, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.01457284],[4.06295567],nan,nan,False,True,nan
79,"(79, [0.833, 0.833, 0.833, 0.5, 0.5], 32)",24404.8359375,0.6644463742252207,[0.00478789],[1.43888318],[0.0532276],[8.0108189],True,False,True
80,"(80, [0.833, 0.833, 0.833, 0.5, 0.5], 32)",inf,inf,[0.00038203],[0.11466477],nan,nan,False,True,nan
81,"(81, [0.722, 0.167, 0.167, 0.167, 0.5], 32)",24469.6953125,0.6363191635798622,[0.08948866],[21.02726661],nan,nan,True,False,nan
82,"(82, [0.722, 0.167, 0.167, 0.167, 0.5], 32)",24530.34765625,0.629307774011724,[0.00786788],[2.24934215],[0.02042626],[3.24582919],True,False,True
83,"(83, [0.722, 0.167, 0.167, 0.167, 0.5], 32)",24572.076171875,0.5754861467575252,[0.00319409],[0.93671458],[0.04363612],[7.58247992],True,False,False
84,"(84, [0.944, 0.167, 0.167, 0.167, 0.5], 32)",24471.189453125,0.6151438816650875,[0.02562753],[8.99337077],nan,nan,True,False,nan
85,"(85, [0.944, 0.167, 0.167, 0.167, 0.5], 32)",24445.419921875,0.6012208349502007,[0.02550974],[6.66646903],nan,nan,True,False,nan
86,"(86, [0.944, 0.167, 0.167, 0.167, 0.5], 32)",inf,inf,[0.01824024],[4.65625982],nan,nan,False,True,nan
87,"(87, [0.5, 0.833, 0.167, 0.5, 0.5], 32)",inf,inf,[0.01655603],[3.97866192],nan,nan,False,True,nan
