sihlouette,configuration
0.6397492111151428,"[([0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6423667092414136,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 32)]"
0.6434671043954051,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6470681515391989,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
0.6479199836135272,"[([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6511109331161209,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5, 0.8333333333333333], 32)]"
0.6529999196363101,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6579915585761006,"[([0.9444444444444444, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32)]"
0.6624520519731079,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666], 32)]"
0.6638710648705272,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.6644463742252207,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
0.6683302446827752,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
