sihlouette,configuration
0.5682789521804545,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333], 32)]"
0.5691657600764717,"[([0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32)]"
0.5698237471458073,"[([0.16666666666666666, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.5, 0.5, 0.5], 32)]"
0.5717005441380918,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
0.5717236880548409,"[([0.9074074074074074, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9074074074074074, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.9074074074074074, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.5727193978858514,"[([0.5, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.8333333333333333, 0.16666666666666666, 0.5, 0.5], 32)]"
0.5747739247486374,"[([0.5, 0.5, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.5, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.5, 0.5, 0.8333333333333333, 0.5], 32)]"
0.5784836701661199,"[([0.8333333333333333, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.2777777777777778, 0.16666666666666666, 0.5], 32)]"
0.5821682654816599,"[([0.5, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.5, 0.5, 0.8333333333333333, 0.5, 0.5], 32)]"
0.5826322705774466,"[([0.16666666666666666, 0.5, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.5, 0.5, 0.5], 32)]"
0.5833010092494657,"[([0.5, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32)]"
0.5843410095141361,"[([0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
0.5861649061781058,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.05555555555555555, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.05555555555555555, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.05555555555555555, 0.5], 32)]"
0.5865777001757777,"[([0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.5], 32)]"
0.5878189849133325,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
0.5883296987075144,"[([0.16666666666666666, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
0.5890715852849084,"[([0.5, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.5, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.5, 0.5, 0.16666666666666666, 0.5], 32)]"
0.5892096036415688,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.2777777777777778, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.2777777777777778, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.2777777777777778, 0.5], 32)]"
0.5928922786005689,"[([0.5, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.5, 0.16666666666666666, 0.5, 0.5], 32), ([0.5, 0.5, 0.16666666666666666, 0.5, 0.5], 32)]"
0.5941967660268563,"[([0.8333333333333333, 0.5, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.5, 0.5], 32), ([0.8333333333333333, 0.5, 0.5, 0.5, 0.5], 32)]"
0.5944394388609562,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333], 32)]"
