losses,i_loss,f_loss
"[526862.6, 524103.72, 521456.25, 518847.84, 516215.3]",513494.9,30416.986
"[524116.28, 521497.8, 518846.06, 516097.0, 513185.66]",510042.4,27396.766
"[529708.8, 526906.1, 524245.16, 521650.75, 519057.22]",516402.8,31114.742
"[524992.5, 522324.03, 519596.97, 516746.6, 513701.6]",510386.12,26564.922
"[525904.6, 523511.2, 521110.84, 518657.34, 516100.3]",513387.12,29377.7
"[526989.44, 524222.62, 521502.12, 518753.97, 515910.3]",512899.0,28251.37
"[525867.8, 522944.06, 520054.97, 517118.5, 514057.34]",510786.47,27231.094
"[522387.1, 519818.06, 517250.56, 514624.9, 511881.34]",508956.56,28503.521
"[524222.44, 521374.5, 518519.72, 515577.6, 512472.75]",509121.5,26715.613
"[525953.75, 523176.94, 520413.38, 517590.03, 514634.3]",511471.12,27521.422
"[524820.7, 522030.88, 519250.5, 516402.62, 513416.0]",510212.84,27284.334
"[526701.5, 523879.4, 521001.44, 517991.47, 514772.6]",511259.62,26217.836
"[524337.1, 521464.7, 518577.53, 515596.66, 512444.25]",509037.56,26758.512
"[524495.0, 521792.34, 519103.03, 516359.3, 513496.16]",510441.0,28124.771
"[527118.4, 524603.2, 522124.88, 519627.2, 517056.56]",514355.12,29856.379
"[525488.5, 522604.34, 519679.8, 516634.94, 513387.9]",509853.88,26142.59
"[523837.06, 521183.16, 518538.53, 515834.22, 513008.47]",509991.22,28062.896
"[525685.25, 523192.94, 520703.47, 518162.94, 515514.78]",512701.7,29022.473
"[526734.3, 524033.56, 521319.53, 518523.88, 515576.6]",512404.2,27207.436
"[527055.5, 524316.4, 521539.38, 518652.25, 515585.38]",512259.3,26697.664
"[525249.5, 522720.38, 520214.38, 517673.44, 515041.53]",512262.16,29268.219
"[526568.56, 523840.34, 521149.9, 518427.4, 515605.22]",512614.38,28219.732
"[523552.94, 521022.84, 518478.06, 515859.0, 513107.9]",510160.66,28074.33
"[524297.0, 521761.94, 519245.2, 516691.6, 514043.12]",511241.38,29321.62
"[526192.7, 523547.94, 520932.7, 518282.3, 515533.94]",512622.8,28821.502
"[525488.25, 522710.12, 519895.75, 516973.34, 513868.5]",510502.06,26725.008
